niveau,serie,matiere,annee,lien_drive,corrige_dispo,source,type_sujet
BAC,A4,Langue francaise,2016,https://drive.google.com/file/d/1c2z2Wx_Ar1_UKEUUPY5B_hv0rx3lUXjF/preview,0,inconnu,officiel
BAC,A4,Langue francaise,2015,https://drive.google.com/file/d/1DmKRCvznbNmmLY1LiRAqa5AsTbSrUKFq/preview,0,inconnu,officiel
BAC,A4,Langue francaise,2023,https://drive.google.com/file/d/1zHDozYmTGqz1oKYIn5hYvpnq6KiiWKc2/preview,0,inconnu,officiel
BAC,A4,Langue francaise,2025,https://drive.google.com/file/d/1aOukUl0Lq8Sz3T1DO6R_uPMnKwWOO2QZ/preview,0,inconnu,officiel
BAC,A4,Langue francaise,2024,https://drive.google.com/file/d/1f_Net0iZsD8JOgxR3AWhYWt1CIcE0_7f/preview,0,inconnu,officiel
BAC,A4,Langue francaise,2022,https://drive.google.com/file/d/12NqHl61iVrUFHprbD2o-FJB4PPhRsPRC/preview,0,inconnu,officiel
BAC,A4,Langue francaise,2020,https://drive.google.com/file/d/1wYH0JR9vDaUdcah-UuxMCv8x7MT1GPKL/preview,0,inconnu,officiel
BAC,A4,Langue francaise,2018,https://drive.google.com/file/d/1Ys-ZtBFaOYODCAVLX3iHHm2GN9ln4R6Y/preview,0,inconnu,officiel
BAC,A4,Langue francaise,2017,https://drive.google.com/file/d/1s57vuKFWPwsUZ8L1VCR0J4A5ck4XueZQ/preview,0,inconnu,officiel
BAC,A4,Langue francaise,2019,https://drive.google.com/file/d/1qq1iXc9s_Hek0ChLfDp5PtUILc1KK1C8/preview,0,inconnu,officiel
BAC,A4,Langue francaise,2021,https://drive.google.com/file/d/1Ox7tDKbci1WpSMcLiRjwj-18NWELJnIg/preview,0,inconnu,officiel
