niveau,serie,matiere,annee,lien_drive,corrige_dispo,source,type
BAC,D,Anglais,2024,,0,,officiel
BAC,D,Anglais,2023,,0,,officiel
BAC,D,Anglais,2022,,0,,officiel
BAC,D,Anglais,2021,,0,,officiel
BAC,D,Anglais,2020,,0,,officiel
BAC,D,Anglais,2019,,0,,officiel
BAC,D,Anglais,2018,,0,,officiel
BAC,D,Anglais,2017,,0,,officiel
BAC,D,Anglais,2016,,0,,officiel
BAC,D,Anglais,2015,,0,,officiel
BAC,D,Anglais,2014,,0,,officiel
BAC,D,Anglais,2013,,0,,officiel
BAC,D,Anglais,2012,,0,,officiel
BAC,D,Anglais,2011,,0,,officiel
BAC,D,Anglais,2010,,0,,officiel
BAC,D,Anglais,2009,,0,,officiel
BAC,D,Anglais,2008,,0,,officiel
BAC,D,Anglais,2007,,0,,officiel
BAC,D,Anglais,2006,,0,,officiel
BAC,D,Anglais,2005,,0,,officiel
BAC,D,Anglais,2004,,0,,officiel
BAC,D,Anglais,2003,,0,,officiel
BAC,D,Anglais,2002,,0,,officiel
BAC,D,Anglais,2001,,0,,officiel
BAC,D,Anglais,2000,,0,,officiel
BAC,D,Anglais,1999,,0,,officiel
BAC,D,Anglais,1998,,0,,officiel
BAC,D,Anglais,1997,,0,,officiel
BAC,D,Anglais,1996,,0,,officiel
BAC,D,Anglais,1995,,0,,officiel
BAC,D,Anglais,1994,,0,,officiel
BAC,D,Anglais,1993,,0,,officiel
BAC,D,Anglais,1992,,0,,officiel
BAC,D,Anglais,1991,,0,,officiel
BAC,D,Anglais,1990,,0,,officiel
BAC,D,Chimie,2024,,0,,officiel
BAC,D,Chimie,2023,,0,,officiel
BAC,D,Chimie,2022,,0,,officiel
BAC,D,Chimie,2021,,0,,officiel
BAC,D,Chimie,2020,,0,,officiel
BAC,D,Chimie,2019,,0,,officiel
BAC,D,Chimie,2018,,0,,officiel
BAC,D,Chimie,2017,,0,,officiel
BAC,D,Chimie,2016,,0,,officiel
BAC,D,Chimie,2015,,0,,officiel
BAC,D,Chimie,2014,,0,,officiel
BAC,D,Chimie,2013,,0,,officiel
BAC,D,Chimie,2012,,0,,officiel
BAC,D,Chimie,2011,,0,,officiel
BAC,D,Chimie,2010,,0,,officiel
BAC,D,Chimie,2009,,0,,officiel
BAC,D,Chimie,2008,,0,,officiel
BAC,D,Chimie,2007,,0,,officiel
BAC,D,Chimie,2006,,0,,officiel
BAC,D,Chimie,2005,,0,,officiel
BAC,D,Chimie,2004,,0,,officiel
BAC,D,Chimie,2003,,0,,officiel
BAC,D,Chimie,2002,,0,,officiel
BAC,D,Chimie,2001,,0,,officiel
BAC,D,Chimie,2000,,0,,officiel
BAC,D,Chimie,1999,,0,,officiel
BAC,D,Chimie,1998,,0,,officiel
BAC,D,Chimie,1997,,0,,officiel
BAC,D,Chimie,1996,,0,,officiel
BAC,D,Chimie,1995,,0,,officiel
BAC,D,Chimie,1994,,0,,officiel
BAC,D,Chimie,1993,,0,,officiel
BAC,D,Chimie,1992,,0,,officiel
BAC,D,Chimie,1991,,0,,officiel
BAC,D,Chimie,1990,,0,,officiel
BAC,D,Français,2024,,0,,officiel
BAC,D,Français,2023,,0,,officiel
BAC,D,Français,2022,,0,,officiel
BAC,D,Français,2021,,0,,officiel
BAC,D,Français,2020,,0,,officiel
BAC,D,Français,2019,,0,,officiel
BAC,D,Français,2018,,0,,officiel
BAC,D,Français,2017,,0,,officiel
BAC,D,Français,2016,,0,,officiel
BAC,D,Français,2015,,0,,officiel
BAC,D,Français,2014,,0,,officiel
BAC,D,Français,2013,,0,,officiel
BAC,D,Français,2012,,0,,officiel
BAC,D,Français,2011,,0,,officiel
BAC,D,Français,2010,,0,,officiel
BAC,D,Français,2009,,0,,officiel
BAC,D,Français,2008,,0,,officiel
BAC,D,Français,2007,,0,,officiel
BAC,D,Français,2006,,0,,officiel
BAC,D,Français,2005,,0,,officiel
BAC,D,Français,2004,,0,,officiel
BAC,D,Français,2003,,0,,officiel
BAC,D,Français,2002,,0,,officiel
BAC,D,Français,2001,,0,,officiel
BAC,D,Français,2000,,0,,officiel
BAC,D,Français,1999,,0,,officiel
BAC,D,Français,1998,,0,,officiel
BAC,D,Français,1997,,0,,officiel
BAC,D,Français,1996,,0,,officiel
BAC,D,Français,1995,,0,,officiel
BAC,D,Français,1994,,0,,officiel
BAC,D,Français,1993,,0,,officiel
BAC,D,Français,1992,,0,,officiel
BAC,D,Français,1991,,0,,officiel
BAC,D,Français,1990,,0,,officiel
BAC,D,Mathematiques,2024,,0,,officiel
BAC,D,Mathematiques,2023,,0,,officiel
BAC,D,Mathematiques,2022,,0,,officiel
BAC,D,Mathematiques,2021,,0,,officiel
BAC,D,Mathematiques,2020,,0,,officiel
BAC,D,Mathematiques,2019,,0,,officiel
BAC,D,Mathematiques,2018,,0,,officiel
BAC,D,Mathematiques,2017,,0,,officiel
BAC,D,Mathematiques,2016,,0,,officiel
BAC,D,Mathematiques,2015,,0,,officiel
BAC,D,Mathematiques,2014,,0,,officiel
BAC,D,Mathematiques,2013,,0,,officiel
BAC,D,Mathematiques,2012,,0,,officiel
BAC,D,Mathematiques,2011,,0,,officiel
BAC,D,Mathematiques,2010,,0,,officiel
BAC,D,Mathematiques,2009,,0,,officiel
BAC,D,Mathematiques,2008,,0,,officiel
BAC,D,Mathematiques,2007,,0,,officiel
BAC,D,Mathematiques,2006,,0,,officiel
BAC,D,Mathematiques,2005,,0,,officiel
BAC,D,Mathematiques,2004,,0,,officiel
BAC,D,Mathematiques,2003,,0,,officiel
BAC,D,Mathematiques,2002,,0,,officiel
BAC,D,Mathematiques,2001,,0,,officiel
BAC,D,Mathematiques,2000,,0,,officiel
BAC,D,Mathematiques,1999,,0,,officiel
BAC,D,Mathematiques,1998,,0,,officiel
BAC,D,Mathematiques,1997,,0,,officiel
BAC,D,Mathematiques,1996,,0,,officiel
BAC,D,Mathematiques,1995,,0,,officiel
BAC,D,Mathematiques,1994,,0,,officiel
BAC,D,Mathematiques,1993,,0,,officiel
BAC,D,Mathematiques,1992,,0,,officiel
BAC,D,Mathematiques,1991,,0,,officiel
BAC,D,Mathematiques,1990,,0,,officiel
BAC,D,Philosophie,2024,,0,,officiel
BAC,D,Philosophie,2023,,0,,officiel
BAC,D,Philosophie,2022,,0,,officiel
BAC,D,Philosophie,2021,,0,,officiel
BAC,D,Philosophie,2020,,0,,officiel
BAC,D,Philosophie,2019,,0,,officiel
BAC,D,Philosophie,2018,,0,,officiel
BAC,D,Philosophie,2017,,0,,officiel
BAC,D,Philosophie,2016,,0,,officiel
BAC,D,Philosophie,2015,,0,,officiel
BAC,D,Philosophie,2014,,0,,officiel
BAC,D,Philosophie,2013,,0,,officiel
BAC,D,Philosophie,2012,,0,,officiel
BAC,D,Philosophie,2011,,0,,officiel
