matiere,annee,titre,lien_pdf,lien_page
Anglais,2021,ANGLAIS-LYCEE BILINGUE DE YAOUNDE-ANNEE SCOLAIRE 2020-2021-CLASSE : PACD-EVALUATION N°5,https://sujetexa.com/wp-content/uploads/2022/04/no4_04_avril_2022_sujetexa.com_.pdf,https://sujetexa.com/index.php/2022/04/05/anglais-lycee-bilingue-de-yaounde-annee-scolaire-2020-2021-classe-pacd-evaluation-n5/
Anglais,2021,ANGLAIS-COLLÈGE VOGT-ANNÉE SCOLAIRE 2021-2022-PREMIÈRE A/C/D/TI/SES-TEST HARMONISÉ-25 Septembre 2021,https://sujetexa.com/wp-content/uploads/2021/11/coll_vogt_PA-PC-PD-PTI_anglais_seq1_23_sept_2021_sujetexa.com_.pdf,https://sujetexa.com/index.php/2021/11/20/anglais-college-vogt-annee-scolaire-2021-2022-premiere-a-c-d-ti-ses-test-harmonise-25-septembre-2021/
Anglais,2021,ANGLAIS-COLLÈGE VOGT-PREMIÈRE A-ANNÉE SCOLAIRE 2021-2022-7 OCTOBRE 2021,https://sujetexa.com/wp-content/uploads/2021/11/coll_vogt_anglais_PA_seq1_07_oct_2021_sujetexa.com_.pdf,https://sujetexa.com/index.php/2021/11/16/anglais-college-vogt-premiere-a-annee-scolaire-2021-2022-7-octobre-2021/
Anglais,2021,ANGLAIS-COLLÈGE PRIVÉ BILINGUE MONTESQUIEU-PREMIÈRES-ÉVALUATION N°4-ANNÉE SCOLAIRE 2020/2021,https://sujetexa.com/wp-content/uploads/2021/09/coll_montesquieu_anglais_PA_PC_PD_seq4_3_mars_2021_sujetexa.com_.pdf,https://sujetexa.com/index.php/2021/09/19/anglais-college-prive-bilingue-montesquieu-premieres-evaluation-n4-annee-scolaire-2020-2021/
Anglais,2021,ANGLAIS-COLLÈGE VOGT-PREMIÈRE A4-SÉQUENCE N°12020/2021,https://sujetexa.com/wp-content/uploads/2021/09/coll_vogt_anglais_PA_seq1_20_oct_2020_sujetexa.com_.pdf,https://sujetexa.com/index.php/2021/09/09/anglais-college-vogt-premiere-a4-sequence-n12020-2021/
Anglais,2021,ANGLAIS-COLLÈGE VOGT-PREMIÈRE A4-2020/2021,https://sujetexa.com/wp-content/uploads/2021/09/coll_vogt_anglais_PA_24_nov_2020_sujetexa.com_.pdf,https://sujetexa.com/index.php/2021/09/09/anglais-college-vogt-premiere-a4-2020-2021/
Anglais,2021,"EPREUVE D’ANGLAIS-TOumpé Intellectual Groups , Le N°1 du E-learning- CLASSES TOUTES-VACANCES 2021 : CONTROLE CONTINU DES ACQUIS N°2",https://sujetexa.com/wp-content/uploads/2021/09/TIGps_CC2_ANG_Toutes_Vac2021.pdf,https://sujetexa.com/index.php/2021/09/06/epreuve-danglais-toumpe-intellectual-groups-le-n1-du-e-learning-classes-toutes-vacances-2021-controle-continu-des-acquis-n2/
Anglais,2021,"PROBATOIRE MOCK EXAM, 2020-2021 DEPARTMENT OF ANGLAIS",https://sujetexa.com/wp-content/uploads/2021/06/probatoire-mock-exxam2021.pdf,https://sujetexa.com/index.php/2021/06/02/probatoire-mock-exam-2020-2021-department-of-anglais/
Anglais,2021,"ANGLAIS-TOumpé Intellectual Groups , Le N°1 du E-learning /-Examen Blanc N°3-Session : Mai 2021-CLASSE :PREMIÈRE A C D",https://sujetexa.com/wp-content/uploads/2021/05/TIGps_EB3_ANG_P-ACD.pdf,https://sujetexa.com/index.php/2021/05/26/anglais-toumpe-intellectual-groups-le-n1-du-e-learning-examen-blanc-n3-session-mai-2021-classe-premiere-a-c-d/
Anglais,2021,ANGLAIS-COLLÈGE DE LA RETRAITE-MINI SESSION N°5-CLASSE DE PREMIÈRE A C D TI-2020-2021,https://sujetexa.com/wp-content/uploads/2021/04/coll_la_retraite_mini_sess5_PACDITI_anglais_2021-2.pdf,https://sujetexa.com/index.php/2021/04/30/anglais-college-de-la-retraite-mini-session-n5-classe-de-premiere-a-c-d-ti-2020-2021/
Anglais,2021,ANGLAIS-COLLÈGE DE LA RETRAITE-CLASSE DE PREMIÈRE A C D-MINI SESSION  N°4- 2020-2021,https://sujetexa.com/wp-content/uploads/2021/04/coll_la_retraite_mini_sess4_PACDITI_anglais_2021.pdf,https://sujetexa.com/index.php/2021/04/29/anglais-college-de-la-retraite-classe-de-premiere-a-c-d-mini-session-n4-2020-2021/
Anglais,2021,"ENGLISH TEST-TOumpé Intellectual Groups , Le N°1 du E-learning / Examen Blanc N°2  Session : Mars 2021-PREMIÈRE A C D",,https://sujetexa.com/index.php/2021/03/28/english-test-toumpe-intellectual-groups-le-n1-du-e-learning-examen-blanc-n2-session-mars-2021-premiere-a-c-d/
Anglais,2021,ANGLAIS-COLLÈGE DE LA RETRAITE–MOCK PROBATOIRE….2021,https://sujetexa.com/wp-content/uploads/2021/02/AN2.pdf,https://sujetexa.com/index.php/2021/02/11/anglais-college-de-la-retraite-mock-probatoire-2021/
Anglais,2021,ANGLAIS-INTELLIGENTSIA COOPORATION TOumpé Intellectual Groups-PREMIÈRE A C D-:2021,https://sujetexa.com/wp-content/uploads/2021/01/4_5990097794315061607.pdf,https://sujetexa.com/index.php/2021/01/13/anglais-intelligentsia-cooporation-toumpe-intellectual-groups-premiere-a-c-d-2021/
Informatique,2021,INFORMATIQUE-COLLEGE PRIVE MONTESQUIEU-CLASSE DE PA4-SEQUENCE 1-OCTOBRE 2021-examinateur : ARMAND NTSA,https://sujetexa.com/wp-content/uploads/2022/11/no2_06_nov_2022_sujetexa.com_.pdf,https://sujetexa.com/index.php/2022/11/08/informatique-college-prive-montesquieu-classe-de-pa4-sequence-1-octobre-2021-examinateur-armand-ntsa/
Informatique,2021,INFORMATIQUE-COLLEGE BILINGUE MONTESQUIEU-PREMIERE A4-SEQUENCE N°5-ANNEE SCOLAIRE 2020-2021,https://sujetexa.com/wp-content/uploads/2022/11/no85_01_nov_2022_sujetexa.com_.pdf,https://sujetexa.com/index.php/2022/11/01/informatique-college-bilingue-montesquieu-premiere-a4-sequence-n5-annee-scolaire-2020-2021/
Informatique,2021,INFORMATIQUE-LYCEE BILINGUE DE YAOUNDE-ANNEE SCOLAIRE 2020-2021-PA4-EVALUATION N°5,https://sujetexa.com/wp-content/uploads/2022/04/no20_04_avril_2022_sujetexa.com_.pdf,https://sujetexa.com/index.php/2022/04/05/informatique-lycee-bilingue-de-yaounde-annee-scolaire-2020-2021-pa4-evaluation-n5/
