matiere,annee,titre,lien_pdf,lien_page
Francais,2026,LITTERATURE-COLLEGE MONGO BETI-SEQUENCE 6-PCD-2025/2026,https://sujetexa.com/wp-content/uploads/2026/06/no24_29_juin_2026_sujetexa.com_.pdf,https://sujetexa.com/index.php/2026/06/29/litterature-college-mongo-beti-sequence-6-pcd-2025-2026/
Francais,2026,LANGUE FRANÇAISE-COLLEGE MONGO BETI-SEQUENCE 6-PCD-2025/2026,https://sujetexa.com/wp-content/uploads/2026/06/no1_29_juin_2026_sujetexa.com_.pdf,https://sujetexa.com/index.php/2026/06/29/langue-francaise-college-mongo-beti-sequence-6-pcd-2025-2026/
Francais,2026,LITTERATURE FRANÇAISE-COLLEGE PRIVE MONGO BETI-SEQUENCE 5-MARS 2026-CLASSE DE PCD,https://sujetexa.com/wp-content/uploads/2026/03/no19_15_mars_2026_sujetexa.com_.pdf,https://sujetexa.com/index.php/2026/03/15/litterature-francaise-college-prive-mongo-beti-sequence-5-mars-2026-classe-de-pcd/
Francais,2026,PHILOSOPHIE-COLLEGE PRIVE MONGO BETI-SEQUENCE 5-MARS 2026-CLASSE DE PCD,https://sujetexa.com/wp-content/uploads/2026/03/no6_15_mars_2026_sujetexa.com_.pdf,https://sujetexa.com/index.php/2026/03/15/philosophie-college-prive-mongo-beti-sequence-5-mars-2026-classe-de-pcd/
Francais,2026,PHILOSOPHIE-COLLEGE LA PREVOYANCE-SEQUENCE 4-FEVRIER 2026-CLASSE DE PCD,https://sujetexa.com/wp-content/uploads/2026/03/Philosophie-1ere-CD-Sequence-4.pdf,https://sujetexa.com/index.php/2026/03/01/philosophie-college-la-prevoyance-sequence-4-fevrier-2026-classe-de-pcd/
Francais,2026,PHILOSOPHIE-COLLEGE PRIVE MONGO BETI-SEQUENCE 4-CLASSE DE PCD-FEVRIER 2026,https://sujetexa.com/wp-content/uploads/2026/02/no6_07_fev_2026_sujetexa.com_.pdf,https://sujetexa.com/index.php/2026/02/07/philosophie-college-prive-mongo-beti-sequence-4-classe-de-pcd-fevrier-2026/
Francais,2026,LITTERATUIRE-COLLEGE PRIVE MONGO BETI-SEQUENCE 4-CLASSE DE PCD-FEVRIER 2026,https://sujetexa.com/wp-content/uploads/2026/02/no3_07_fev_2026_sujetexa.com_.pdf,https://sujetexa.com/index.php/2026/02/07/litteratuire-college-prive-mongo-beti-sequence-4-classe-de-pcd-fevrier-2026/
Mathematiques,2026,MATHEMATIQUES-COLLEGE MONGO BETI-SEQUENCE 6-PC-2025/2026,https://sujetexa.com/wp-content/uploads/2026/06/no25_29_juin_2026_sujetexa.com_.pdf,https://sujetexa.com/index.php/2026/06/29/mathematiques-college-mongo-beti-sequence-6-pc-2025-2026/
Mathematiques,2026,MATHEMATIQUES-COLLEGE JEAN TABI D’ETOUDI-DEVOIR HARMONISÉ-PC-SEQUENCE 5-MARS 2026,https://sujetexa.com/wp-content/uploads/2026/04/DH5-1C-MATHS-2025-2026.pdf,https://sujetexa.com/index.php/2026/04/26/mathematiques-college-jean-tabi-detoudi-devoir-harmonise-pc-sequence-5-mars-2026/
Mathematiques,2026,MATHEMATIQUES-COLLÈGE François-Xavier VOGT-Situation 5-Niveau : PC et PCE-MARS 2026,https://sujetexa.com/wp-content/uploads/2026/04/Controle-du-28-03-2026-PC-ET-PCE_071652.pdf,https://sujetexa.com/index.php/2026/04/07/mathematiques-college-francois-xavier-vogt-situation-5-niveau-pc-et-pce-mars-2026/
