matiere,annee,titre,lien_pdf,lien_page
Francais,2020,LITTERATURE-COLLEGE JEAN TABI-TLeCD-FEV 2020-SESSION INTENSIVE,https://sujetexa.com/wp-content/uploads/2023/04/no18_02_avril_2023_sujetexa.com_.pdf,https://sujetexa.com/index.php/2023/04/02/litterature-college-jean-tabi-tlecd-fev-2020-session-intensive/
Francais,2020,PHILOSOPHIE-COLLÈGE VOGT-TERMINALE C/D/TI-2019/2020,https://sujetexa.com/wp-content/uploads/2021/09/Philosophie-TleCDTI-Eval3-College-Vogt-2019-2020-skylon.pdf,https://sujetexa.com/index.php/2021/09/03/philosophie-college-vogt-terminale-c-d-ti-2019-2020/
Francais,2020,FRANÇAIS-BACCALAUREAT-2020-Togo-SERIE ACDE,https://sujetexa.com/wp-content/uploads/2021/04/Togo-BAC-Francais-Series-A-C-D-E-2019.pdf,https://sujetexa.com/index.php/2021/04/13/francais-baccalaureat-2020-togo-serie-acde/
Francais,2020,"LITTÉRATURE OU CULTURE GÉNÉRALE ,BAC D TI:2020",https://sujetexa.com/wp-content/uploads/2020/09/promouvoircompetences-com-epreuve-litterature-ou-culture-generale-bacc-d-ti-2020-cameroun.pdf,https://sujetexa.com/index.php/2020/09/28/litterature-ou-culture-generale-bac-d-ti2020/
Francais,2020,LANGUE FRANÇAISE BAC D -TI:2020,https://sujetexa.com/wp-content/uploads/2020/07/langue-française-D.pdf,https://sujetexa.com/index.php/2020/07/22/langue-francaise-bac-d-ti2020/
Francais,2020,PHILOSOPHIE COLLÈGE DE LA RETRAITE TERMINALE C D MINI SESSION  N°3-2020,https://sujetexa.com/wp-content/uploads/2020/02/coll_retraite_minisess_philo_seq3_TC-TD-TTI_2020.pdf,https://sujetexa.com/index.php/2020/03/02/philosophie-college-de-la-retraite-terminale-c-d-mini-session-n3-2020/
Francais,2020,PHILOSOPHIE COLLÈGE DE LA RETRAITE TERMINALE C D MINI SESSION  N°2-2020,,https://sujetexa.com/index.php/2020/03/02/philosophie-college-de-la-retraite-terminale-c-d-mini-session-n2-2020/
Francais,2020,PHILOSOPHIE COLLÈGE DE LA RETRAITE TERMINALE C D  MINI SESSION  N°1-2020,https://sujetexa.com/wp-content/uploads/2020/02/coll_retraite_minisess_philo_seq1_TC-TD-TTI_2020.pdf,https://sujetexa.com/index.php/2020/03/02/philosophie-college-de-la-retraite-terminale-c-d-mini-session-n1-2020/
Francais,2020,FRANÇAIS COLLÈGE DE LA RETRAITE TERMINALE A C D   MINI SESSION INTENSIVE  N°1-2020,https://sujetexa.com/wp-content/uploads/2020/02/coll_retraite_minisess_langue_seq1_TA_2020.pdf,https://sujetexa.com/index.php/2020/03/02/francais-college-de-la-retraite-terminale-a-c-d-mini-session-intensive-n1-2020/
Francais,2020,LITTERATURE FRANÇAISE COLLÈGE DE LA RETRAITE TERMINALE C D SEQ N°2-2020,https://sujetexa.com/wp-content/uploads/2020/02/coll_retraite_minisess_anglais_seq2_TC-TD_2020.pdf,https://sujetexa.com/index.php/2020/03/02/litterature-francaise-college-de-la-retraite-terminale-c-d-seq-n2-2020/
Francais,2020,LITTERATURE COLLÈGE DE LA RETRAITE TERMINALE C D  SEQ N°3-2020,https://sujetexa.com/wp-content/uploads/2020/02/coll_retraite_littérature_seq3_TC-TD-TTI_2020.pdf,https://sujetexa.com/index.php/2020/03/02/litterature-college-de-la-retraite-terminale-c-d-seq-n3-2020/
Francais,2020,PHILOSOPHIE COLLÈGE DE LA RETRAITE TERMINALE C D-2020,https://sujetexa.com/wp-content/uploads/2020/02/coll_retraite_philo_TC-TD-TI_2020.pdf,https://sujetexa.com/index.php/2020/02/26/philosophie-college-de-la-retraite-terminale-c-d-2020/
Francais,2020,LITTERATURE COLLÈGE DE LA RETRAITE TERMINALE C D-2020,https://sujetexa.com/wp-content/uploads/2020/02/coll_retraite_minisess_littérature_TC-TD_2020.pdf,https://sujetexa.com/index.php/2020/02/26/litterature-college-de-la-retraite-terminale-c-d-2020/
Francais,2020,philosophie collège vogt terminale C D seq1-2020,https://sujetexa.com/wp-content/uploads/2020/02/coll_vogt_philo_seq1_TC-TD-TI_2020.pdf,https://sujetexa.com/index.php/2020/02/09/philosophie-college-vogt-terminale-c-d-seq1-2020/
Francais,2020,langue française collège vogt   terminale C D contrôle seq1-2020,https://sujetexa.com/wp-content/uploads/2020/02/coll_vogt_langue_seq1_TC-TD-TI_2020.pdf,https://sujetexa.com/index.php/2020/02/09/langue-francaise-college-vogt-terminale-c-d-controle-seq1-2020/
Anglais,2020,ANGLAIS-UNIVERSITÉ CHEIKH ANTA DIOP DE DAKAR-OFFICE DU BACCALAUREAT-Séries : L-AR-2020,https://sujetexa.com/wp-content/uploads/2021/04/Senegal-SUJET-ANG-LAR-GP1-2020.pdf,https://sujetexa.com/index.php/2021/04/07/anglais-universite-cheikh-anta-diop-de-dakar-office-du-baccalaureat-series-l-ar-2020/
Anglais,2020,ANGLAIS-UNIVERSITÉ CHEIKH ANTA DIOP DE DAKAR-OFFICE DU BACCALAUREAT-Séries :S1-S1A-S2A-S2-S4-S5-2020,https://sujetexa.com/wp-content/uploads/2021/04/Senegal-SUJET-ANGLAIS-S-01-2020.pdf,https://sujetexa.com/index.php/2021/04/07/anglais-universite-cheikh-anta-diop-de-dakar-office-du-baccalaureat-series-s1-s1a-s2a-s2-s4-s5-2020/
Anglais,2020,ANGLAIS-UNIVERSITÉ CHEIKH ANTA DIOP DE DAKAR-OFFICE DU BACCALAUREAT-Séries:S3-2020,,https://sujetexa.com/index.php/2021/04/07/anglais-universite-cheikh-anta-diop-de-dakar-office-du-baccalaureat-seriess-2020/
Anglais,2020,ANGLAIS-UNIVERSITÉ CHEIKH ANTA DIOP DE DAKAR-OFFICE DU BACCALAUREAT-Séries: L1b – L2  LA-2020,https://sujetexa.com/wp-content/uploads/2021/04/Senegal-SUJET-ANGLAIS-01-2020.pdf,https://sujetexa.com/index.php/2021/04/07/anglais-universite-cheikh-anta-diop-de-dakar-office-du-baccalaureat-series-l1b-l2-la-2020/
Anglais,2020,ANGLAIS-UNIVERSITÉ CHEIKH ANTA DIOP DE DAKAR-OFFICE DU BACCALAUREAT-Série : G-2020,https://sujetexa.com/wp-content/uploads/2021/04/Senegal-SUJET-ANG-G-GP1-2020.pdf,https://sujetexa.com/index.php/2021/04/07/anglais-universite-cheikh-anta-diop-de-dakar-office-du-baccalaureat-serie-g-2020/
Informatique,2020,INFORMATIQUE-Lycée d’Ebolowa-Session : 2020 Classe : Tle CD Evaluation : 4-Examinateur : M. NGUELE EBALE,https://sujetexa.com/wp-content/uploads/2021/08/35-2.pdf,https://sujetexa.com/index.php/2021/08/16/informatique-lycee-debolowa-session-2020-classe-tle-cd-evaluation-4-examinateur-m-nguele-ebale/
Informatique,2020,TD INFO-GROUPE DE RÉPÉTITION LE MÉRITANT-M. WAFFO LELE ROSTAND / LICENCE MATHS – INFO © CPD 2020,https://sujetexa.com/wp-content/uploads/2021/02/TD-info-Pre-CD.pdf,https://sujetexa.com/index.php/2021/02/22/td-info-groupe-de-repetition-le-meritant/
Informatique,2020,INFORMATIQUE-COLLEGE BILINGUE ISLAMIQUE SABIL DE MAROUA-Evaluation N°1-Classe : T le CD:-2020,https://sujetexa.com/wp-content/uploads/2021/01/info22.pdf,https://sujetexa.com/index.php/2021/01/15/informatique-college-bilingue-islamique-sabil-de-maroua-evaluation-n1-classe-t-le-cd-2020/
Informatique,2020,INFORMATIQUE-COLLÈGE VOGT-CLASSE : TIe CD-:2020,https://sujetexa.com/wp-content/uploads/2021/01/info21.pdf,https://sujetexa.com/index.php/2021/01/15/informatique-college-vogt-classe-tie-cd-2020/
Informatique,2020,INFORMATIQUE-LYCEE DE BAMOUGONG-Par LAGOWO YEMELI Merlin-:2020,https://sujetexa.com/wp-content/uploads/2021/01/info20.pdf,https://sujetexa.com/index.php/2021/01/15/informatique-lycee-de-bamougong-par-lagowo-yemeli-merlin-2020/
Informatique,2020,INFORMATIQUE-COLLEGE POLYVALENT BILINGUE BAHO-Classe : Tle C & D – Nov 2020-DEVOIR SURVEILLE N° 1,https://sujetexa.com/wp-content/uploads/2021/01/info13.pdf,https://sujetexa.com/index.php/2021/01/15/informatique-college-polyvalent-bilingue-baho-classe-tle-c-d-nov-2020-devoir-surveille-n-1/
Informatique,2020,INFORMATIQUE-COLLEGE POLYVALENT BILINGUE BAHO-Classe : Tle C & D – Nov 2020,https://sujetexa.com/wp-content/uploads/2021/01/info12.pdf,https://sujetexa.com/index.php/2021/01/15/informatique-college-polyvalent-bilingue-baho-classe-tle-c-d-nov-2020/
Informatique,2020,INFORMATIQUE-INTELLIGENTSIA COOPORATION TOumpé Intellectual Groups-FICHE N°1 D’EXERCICES : CLASSES DE TERMINALES C.D:2020,https://sujetexa.com/wp-content/uploads/2020/11/4_5902435639197960574.pdf,https://sujetexa.com/index.php/2020/11/29/informatique-intelligentsia-cooporation-toumpe-intellectual-groups-fiche-n1-dexercices-classes-de-terminales-c-d2020/
Informatique,2020,"INFORMATIQUE-BACCALAURÉAT A, C, D, E:2020",https://sujetexa.com/wp-content/uploads/2020/08/baccalaureat-2020.pdf,https://sujetexa.com/index.php/2020/08/01/informatique-baccalaureat-a-c-d-e2020/
Informatique,2020,INFORMATIQUE-COLLEGE POLYVALENT ALOYS TAPIEMENE-BAC BLANC N°1-2020,https://sujetexa.com/wp-content/uploads/2020/07/BAC-BLAN-1-INFO-2020.pdf,https://sujetexa.com/index.php/2020/07/07/informatique-college-polyvalent-aloys-tapiemene-bac-blanc-n1-2020/
Informatique,2020,INFORMATIQUE-Collège Moderne de l’Espérance-Classe : Terminale A C D-Baccalauréat blanc n°1-2020,https://sujetexa.com/wp-content/uploads/2020/07/BAC-BLAN-1-INFO-2019.pdf,https://sujetexa.com/index.php/2020/07/07/informatique-college-moderne-de-lesperance-classe-terminale-a-c-d-baccalaureat-blanc-n1-2020/
Informatique,2020,"INFORMATIQUE THEORIQUE-Collège Moderne de l’Espérance-Terminale A, C, D-Evaluation n°4-2020",https://sujetexa.com/wp-content/uploads/2020/07/eval_4_terminaleACD_19_20_esp.pdf,https://sujetexa.com/index.php/2020/07/04/informatique-theorique-college-moderne-de-lesperance-terminale-a-c-d-evaluation-n4-2020/
Informatique,2020,INFORMATIQUE LYCÉE DE TOKOMBERE COMPOSITION TRIMESTRIELLE N°4 Examinateur : ISMAIL ABBA (PLEG-TIC)- TERMINALE- A C D-2020,https://sujetexa.com/wp-content/uploads/2020/03/tL-acd.pdf,https://sujetexa.com/index.php/2020/03/13/informatique-lycee-de-tokombere-composition-trimestrielle-n4-examinateur-ismail-abba-pleg-tic-terminale-a-c-d-2020/
Informatique,2020,INFORMATIQUE COLLÈGE DE LA RETRAITE TERMINALE A D  C MINI SESSION INTENSIVE N°3-2020,,https://sujetexa.com/index.php/2020/03/02/informatique-college-de-la-retraite-terminale-a-d-c-mini-session-intensive-n3-2020/
Informatique,2020,INFORMATIQUE COLLÈGE DE LA RETRAITE TERMINALE A C D   MINI SESSION INTENSIVE  N°3-2020,https://sujetexa.com/wp-content/uploads/2020/02/coll_retraite_minisess_info_seq3_TA-TC-TD_2020.pdf,https://sujetexa.com/index.php/2020/03/02/informatique-college-de-la-retraite-terminale-a-c-d-mini-session-intensive-n3-2020/
