matiere,annee,titre,lien_pdf,lien_page
Francais,2024,EXPRESSION ECRITE-COLLEGE CATHOLIQUE BILINGUE PÈRE MONTI-SEQUENCE 1-OCTOBRE 2024-3ème,https://sujetexa.com/wp-content/uploads/2025/01/3eme3.pdf,https://sujetexa.com/index.php/2025/01/10/expression-ecrite-college-catholique-bilingue-pere-monti-sequence-1-octobre-2024-3eme/
Francais,2024,CORRECTION ORTHOGRAPHIQUE-COLLEGE CATHOLIQUE BILINGUE PÈRE MONTI-SEQUENCE 1-OCTOBRE 2024-3ème,https://sujetexa.com/wp-content/uploads/2025/01/3eme2.pdf,https://sujetexa.com/index.php/2025/01/10/correction-orthographique-college-catholique-bilingue-pere-monti-sequence-1-octobre-2024-3eme/
Francais,2024,ETUDE DE TEXTE-COLLEGE CATHOLIQUE BILINGUE PÈRE MONTI-SEQUENCE 1-OCTOBRE 2024-3ème,https://sujetexa.com/wp-content/uploads/2025/01/3eme1.pdf,https://sujetexa.com/index.php/2025/01/10/etude-de-texte-college-catholique-bilingue-pere-monti-sequence-1-octobre-2024-2ndeac/
Francais,2024,EXPRESSION ECRITE-COLLEGE VOGT-CONTROLE-SEQUENCE 3-DECEMBRE 2024-CLASSE DE 3ème,https://sujetexa.com/wp-content/uploads/2025/01/no24_08_janv_2025_part2_sujetexa.com_-1.pdf,https://sujetexa.com/index.php/2025/01/09/expression-ecrite-college-vogt-controle-sequence-3-decembre-2024-classe-de-3eme/
Francais,2024,ORTHOGRAPHE-COLLEGE VOGT-CONTROLE-SEQUENCE 2-NOVEMBRE 2024-CLASSE DE 3ème,https://sujetexa.com/wp-content/uploads/2025/01/no22_08_janv_2025_part2_sujetexa.com_-1.pdf,https://sujetexa.com/index.php/2025/01/09/orthographe-college-vogt-controle-sequence-2-novembre-2024-classe-de-3eme/
Francais,2024,CORRECTION ORTHOGRAPHIQUE-COLLEGE MONGO BETI-SEQUENCE 3-DECEMBRE 2024-CLASSE DE 3ème,https://sujetexa.com/wp-content/uploads/2025/01/no27_03_janv_2025_sujetexa.com_.pdf,https://sujetexa.com/index.php/2025/01/03/correction-orthographique-college-mongo-beti-sequence-3-decembre-2024-classe-de-3eme/
Francais,2024,EXPRESSION ECRITE-COLLEGE MONGO BETI-SEQUENCE 3-DECEMBRE 2024-CLASSE DE 3ème,https://sujetexa.com/wp-content/uploads/2025/01/no25_03_janv_2025_sujetexa.com_.pdf,https://sujetexa.com/index.php/2025/01/03/expression-ecrite-college-mongo-beti-sequence-3-decembre-2024-classe-de-3eme/
Francais,2024,ETUDE DE TEXTE-COLLEGE MONGO BETI-SEQUENCE 3-DECEMBRE 2024-CLASSE DE 3ème,https://sujetexa.com/wp-content/uploads/2025/01/no24_03_janv_2025_sujetexa.com_.pdf,https://sujetexa.com/index.php/2025/01/03/etude-de-texte-college-mongo-beti-sequence-3-decembre-2024-classe-de-3eme/
Francais,2024,ETUDE DE TEXTE-COLLEGE PRIVÉ MONTESQUIEU-3ème-SEQUENCE 2-NOVEMBRE 2024,https://sujetexa.com/wp-content/uploads/2024/12/no4_06_dec_2024_sujetexa.com_.pdf,https://sujetexa.com/index.php/2024/12/06/etude-de-texte-college-prive-montesquieu-3eme-sequence-2-novembre-2024/
Francais,2024,CORRECTION ORTHOGRAPHIQUE-COLLEGE PRIVÉ MONTESQUIEU-3ème-SEQUENCE 2-NOVEMBRE 2024,https://sujetexa.com/wp-content/uploads/2024/12/no3_06_dec_2024_sujetexa.com_.pdf,https://sujetexa.com/index.php/2024/12/06/correction-orthographique-college-prive-montesquieu-3eme-sequence-2-novembre-2024/
Francais,2024,ETUDE DE TEXTE-COLLEGE F.X VOGT-MINI SESSION-3ème-SEQUENCE 2-NOVEMBRE 2024,https://sujetexa.com/wp-content/uploads/2024/12/no10_04_dec_2024_sujetexa.com_.pdf,https://sujetexa.com/index.php/2024/12/04/etude-de-texte-college-f-x-vogt-mini-session-3eme-sequence-2-novembre-2024/
Francais,2024,EXPRESSION ECRITE-COLLEGE F.X VOGT-MINI SESSION-3ème-SEQUENCE 2-NOVEMBRE 2024,https://sujetexa.com/wp-content/uploads/2024/12/no7_04_dec_2024_sujetexa.com_.pdf,https://sujetexa.com/index.php/2024/12/04/expression-ecrite-college-f-x-vogt-mini-session-3eme-sequence-2-novembre-2024/
Francais,2024,ETUDE DE TEXTE-COLLEGE F.X VOGT-CONTROLE-3ème-SEQUENCE 1-OCTOBRE 2024,https://sujetexa.com/wp-content/uploads/2024/12/no6_04_dec_2024_sujetexa.com_.pdf,https://sujetexa.com/index.php/2024/12/04/etude-de-texte-college-f-x-vogt-controle-3eme-sequence-1-octobre-2024/
Francais,2024,ETUDE DE TEXTE-COLLEGE F.X VOGT-CONTROLE-3ème-SEQUENCE 1-SEPTEMBRE 2024,https://sujetexa.com/wp-content/uploads/2024/12/no5_04_dec_2024_sujetexa.com_.pdf,https://sujetexa.com/index.php/2024/12/04/etude-de-texte-college-f-x-vogt-controle-3eme-sequence-1-septembre-2024/
Francais,2024,EXPRESSION ECRITE-COLLEGE F.X VOGT-CONTROLE-3ème-SEQUENCE 1-05 OCTOBRE 2024,https://sujetexa.com/wp-content/uploads/2024/12/no4_04_dec_2024_sujetexa.com_.pdf,https://sujetexa.com/index.php/2024/12/04/expression-ecrite-college-f-x-vogt-controle-3eme-sequence-1-05-octobre-2024/
Francais,2024,EXPRESSION ECRITE-COLLEGE F.X VOGT-CONTROLE-3ème-SEQUENCE 1-OCTOBRE 2024,https://sujetexa.com/wp-content/uploads/2024/12/no3_04_dec_2024_sujetexa.com_.pdf,https://sujetexa.com/index.php/2024/12/04/expression-ecrite-college-f-x-vogt-controle-3eme-sequence-1-octobre-2024/
Francais,2024,ETUDE DE TEXTE-COLLEGE PRIVE BILINGUE LAROUSSE-SEQUENCE 2-CLASSE DE 3ème-NOVEMBRE 2024,https://sujetexa.com/wp-content/uploads/2024/11/no28_30_nov_2024_sujetexa.com_.pdf,https://sujetexa.com/index.php/2024/11/30/etude-de-texte-college-prive-bilingue-larousse-sequence-2-classe-de-3eme-novembre-2024/
Francais,2024,EXPRESSION ECRITE-COLLEGE PRIVE BILINGUE LAROUSSE-SEQUENCE 2-CLASSE DE 3ème-NOVEMBRE 2024,https://sujetexa.com/wp-content/uploads/2024/11/no25_30_nov_2024_sujetexa.com_.pdf,https://sujetexa.com/index.php/2024/11/30/expression-ecrite-college-prive-bilingue-larousse-sequence-2-classe-de-3eme-novembre-2024/
Francais,2024,LCN-COLLEGE LA DIGNITE-CLASSE DE 3ème-SEQUENCE 2-NOVEMBRE 2024,,https://sujetexa.com/index.php/2024/11/20/lcn-college-la-dignite-classe-de-3eme-sequence-2-novembre-2024/
Francais,2024,EXPRESSION ECRITE-COLLEGE LA DIGNITE-CLASSE DE 3ème-SEQUENCE 2-NOVEMBRE 2024,https://sujetexa.com/wp-content/uploads/2024/11/no1_20_nov_2024_sujetexa.com_.pdf,https://sujetexa.com/index.php/2024/11/20/expression-ecrite-college-la-dignite-classe-de-3eme-sequence-2-novembre-2024/
