niveau,serie,matiere,annee,lien_drive,corrige_dispo,source,type_sujet
BAC,C,Informatique,2022,https://drive.google.com/file/d/1d89TpO64q_T1tofheonauQqE4HqwLGl4/preview,0,inconnu,officiel
BAC,C,Informatique,2023,https://drive.google.com/file/d/1CyTdAwHHRo963bprZPGUtF9P0GjFRkRD/preview,0,inconnu,officiel
BAC,C,Informatique,2024,https://drive.google.com/file/d/1msNhtH5H2FoROWbcfVCI5ElDMoYnYqa7/preview,0,inconnu,officiel
BAC,C,Informatique,2022,https://drive.google.com/file/d/1gVzz1Svx7kyvEz_bSQSLCt0JQCfwDHhd/preview,0,inconnu,officiel
BAC,C,Informatique,2023,https://drive.google.com/file/d/1UPDOV8ljGkvkW8SGmK-Zb9jMd3l-MNRD/preview,0,inconnu,officiel
BAC,C,Informatique,2024,https://drive.google.com/file/d/1s-BS68SFjHw3wlQ5aGZtYZyBLqqTD59E/preview,0,inconnu,officiel
BAC,C,Informatique,2018,https://drive.google.com/file/d/1pWZI1otDRjmJ3FFLjaGSqiVcVmQ-onjj/preview,0,inconnu,officiel
BAC,C,Informatique,2020,https://drive.google.com/file/d/1cXeLY2gDLLPZDwwd_D_dBSg9YqTI2-mb/preview,0,inconnu,officiel
BAC,C,Informatique,2015,https://drive.google.com/file/d/1GShYDhyXOqrFa9pGkeKFX9mlxriYwEf5/preview,0,inconnu,officiel
BAC,C,Informatique,2017,https://drive.google.com/file/d/1MnkEhnJDL3-JJv7pjXlbcyME2t8_WnAE/preview,0,inconnu,officiel
BAC,C,Informatique,2016,https://drive.google.com/file/d/1FsnobvoxvDlrJa0M9yw1zziCkRt_JyX8/preview,0,inconnu,officiel
BAC,C,Informatique,2019,https://drive.google.com/file/d/1aKREenz4JduMXy8jJNb_JWEpgLUGBTE7/preview,0,inconnu,officiel
BAC,C,Informatique,2025,https://drive.google.com/file/d/1WuKq1FukatNxCpqcKXsG3oTb79XeXIWB/preview,0,inconnu,officiel
BAC,C,Informatique,2021,https://drive.google.com/file/d/1ZEwaVTCIsVsyhJdBPKhOHovY4XflsNBi/preview,0,inconnu,officiel
BAC,C,Informatique,2018,https://drive.google.com/file/d/181-VMYVYmb9X7ev4eJMeOz5BPt4FDouI/preview,0,inconnu,officiel
BAC,C,Informatique,2020,https://drive.google.com/file/d/1_XsA485RyjlHO_cwnOk2gxa4zlIffSfS/preview,0,inconnu,officiel
BAC,C,Informatique,2015,https://drive.google.com/file/d/1bvz4ab0SluprMxbr-jeqVSpQsOwXFwDt/preview,0,inconnu,officiel
BAC,C,Informatique,2017,https://drive.google.com/file/d/1JOKyiqI-_1CMs0o9mo1tUoUVcnGaVvlc/preview,0,inconnu,officiel
BAC,C,Informatique,2016,https://drive.google.com/file/d/1SmFkD2WVHQkSW0MNnf0Bx7rnZlaxFIYp/preview,0,inconnu,officiel
BAC,C,Informatique,2019,https://drive.google.com/file/d/1pOYmd4VFn6_RCeR_GeZvsu-er_LUz_jz/preview,0,inconnu,officiel
BAC,C,Informatique,2025,https://drive.google.com/file/d/1FQsQLHkEI7i2g4IoxyU2k6n5LvqvwclG/preview,0,inconnu,officiel
BAC,C,Informatique,2021,https://drive.google.com/file/d/1eM9o19P7mppSqsSpANaIkh8wPD4zJIJr/preview,0,inconnu,officiel
BAC,C,Informatique,2022,https://drive.google.com/file/d/12_AatW5_gyhI_C0LMLRgb1B33hQLp1J8/preview,0,inconnu,officiel
BAC,C,Informatique,2023,https://drive.google.com/file/d/1zmirlH00xzvjleGEjoa8xBYfZ7KOah26/preview,0,inconnu,officiel
BAC,C,Informatique,2018,https://drive.google.com/file/d/19H9SFlzf4cvNPxmBzi_e5jUPiG5UjC1R/preview,0,inconnu,officiel
BAC,C,Informatique,2020,https://drive.google.com/file/d/1rqiVFzGAUOex1mKHnXZpcMpdiFCd-rO5/preview,0,inconnu,officiel
