niveau,serie,matiere,annee,lien_drive,corrige_dispo,source,type_sujet
BAC,D,Chimie,2023,https://drive.google.com/file/d/10epk9bIV_YjSPCYot3gWtfCyvx0e5Mzz/preview,0,inconnu,officiel
BAC,D,Chimie,2017,https://drive.google.com/file/d/13Gh6jRdFKW61UIJz4zNrlpTNnAD8-A3F/preview,0,inconnu,officiel
BAC,D,Chimie,2016,https://drive.google.com/file/d/13pxbfeNC5n5UJtJMI7IcpaJG0znG7F9i/preview,0,inconnu,officiel
BAC,D,Chimie,2019,https://drive.google.com/file/d/14VF4BrkXkZaCLXYeLJqt21w-qU7PBueV/preview,0,inconnu,officiel
BAC,D,Chimie,2024,https://drive.google.com/file/d/1J5L8EC23rTAMQQWvXlbeT0DzJphZjuRc/preview,0,inconnu,officiel
BAC,D,Chimie,2025,https://drive.google.com/file/d/1L3ERAoQ_neOFoCU97JZynmRSMrRrdz0j/preview,0,inconnu,officiel
BAC,D,Chimie,2018,https://drive.google.com/file/d/1agNokqvJPpK33z1B_sNfYuBQEOJZOjr1/preview,0,inconnu,officiel
BAC,D,Chimie,2020,https://drive.google.com/file/d/1uquxegzV2nEaXKUa1YEsxdXnk9pQ0shp/preview,0,inconnu,officiel
BAC,D,Chimie,2021,https://drive.google.com/file/d/1vh6KmfhYNQUocFjC6UAfQLROK8rrb6vY/preview,0,inconnu,officiel
BAC,D,Chimie,2022,https://drive.google.com/file/d/18XPWsZf7APOGlLpUYG7mtjTycYvIKBM7/preview,0,inconnu,officiel
