niveau,serie,matiere,annee,lien_drive,corrige_dispo,source,type_sujet
BAC,D,Informatique,2022,https://drive.google.com/file/d/1QbE7__s9LU0ymrzvo6RaaffmSXxEWY_O/preview,0,inconnu,officiel
BAC,D,Informatique,2023,https://drive.google.com/file/d/1mDuv0pP-8-MoJv0XyJQomRUnEOjcrAVK/preview,0,inconnu,officiel
BAC,D,Informatique,2024,https://drive.google.com/file/d/1nswqp31o9uQnITYwe9tQeBOvomwdek4e/preview,0,inconnu,officiel
BAC,D,Informatique,2022,https://drive.google.com/file/d/1vDVhaTzwe4cdRnDFybX_RD3SJE3CR1zV/preview,0,inconnu,officiel
BAC,D,Informatique,2023,https://drive.google.com/file/d/1Hb328RtmV8yNGBcaI5iE31oA1dhfG1iN/preview,0,inconnu,officiel
BAC,D,Informatique,2024,https://drive.google.com/file/d/1cOvswTUhNYipPueXGe9PJ-naZvFijZ_u/preview,0,inconnu,officiel
BAC,D,Informatique,2018,https://drive.google.com/file/d/15jdY_DncmrA6qKtsTxskUiNRtMdtnMeR/preview,0,inconnu,officiel
BAC,D,Informatique,2020,https://drive.google.com/file/d/18Pz7r1x5SXxt2V7uXNwqnZureRWkZJBU/preview,0,inconnu,officiel
BAC,D,Informatique,2015,https://drive.google.com/file/d/1VJdasi6IPm5g-XUQM_PcetXYboUF9u9t/preview,0,inconnu,officiel
BAC,D,Informatique,2017,https://drive.google.com/file/d/1pEqtfvzbvlw7UQQTjdEjR1-aVZusGNEg/preview,0,inconnu,officiel
BAC,D,Informatique,2016,https://drive.google.com/file/d/12Lj_JPsQTOz8TE95pK4xAtX1tKj3qiGx/preview,0,inconnu,officiel
BAC,D,Informatique,2019,https://drive.google.com/file/d/1HAmkrvGThwsFODJKHmdneaSX-XzA0jas/preview,0,inconnu,officiel
BAC,D,Informatique,2025,https://drive.google.com/file/d/1R06NUXJWYzQrFCNSUMnQ6dKD1SwiQ3XN/preview,0,inconnu,officiel
BAC,D,Informatique,2021,https://drive.google.com/file/d/13iTZhgmG_8TgA5tAwbu8ThBiwJti_JCw/preview,0,inconnu,officiel
BAC,D,Informatique,2018,https://drive.google.com/file/d/1C_sgfT4l0fVgxTSBHfz9RxWJEciGYbQU/preview,0,inconnu,officiel
BAC,D,Informatique,2020,https://drive.google.com/file/d/1VQwnZHDdFPl29J9J0N2qFTmoADjlOKay/preview,0,inconnu,officiel
BAC,D,Informatique,2015,https://drive.google.com/file/d/1RVjPWu89fqbjUsXJLGHs6l3q_X7G2nUC/preview,0,inconnu,officiel
BAC,D,Informatique,2017,https://drive.google.com/file/d/1jq-NPEi6KZaZ2Hm2eWk8pWyoFHiZ1-ev/preview,0,inconnu,officiel
BAC,D,Informatique,2016,https://drive.google.com/file/d/1N7s-vzh-D2jikIapwn9gqk1xb75twmIm/preview,0,inconnu,officiel
BAC,D,Informatique,2019,https://drive.google.com/file/d/181iCgxH_72z8_Llt4yMqpWCKENsAc_cT/preview,0,inconnu,officiel
BAC,D,Informatique,2025,https://drive.google.com/file/d/10TWLaKHEyKEpbJ-Bw8Qs3FYjfgt_Pt_4/preview,0,inconnu,officiel
BAC,D,Informatique,2021,https://drive.google.com/file/d/1Fd5-7G2bkrtefMJSsbN93gUtvh6vfNoQ/preview,0,inconnu,officiel
BAC,D,Informatique,2022,https://drive.google.com/file/d/1rGCI3Zue1SwoDNXMgIAiFwrmfn_0ggk9/preview,0,inconnu,officiel
BAC,D,Informatique,2023,https://drive.google.com/file/d/1UqrB4GIleW1OG1z8sO-bjK5mpMjZRSwJ/preview,0,inconnu,officiel
BAC,D,Informatique,2018,https://drive.google.com/file/d/1E9k8EJ8_vcnPNPMnu3fT5i3bnM5hgDOy/preview,0,inconnu,officiel
BAC,D,Informatique,2020,https://drive.google.com/file/d/1xs7qewFHFI2IelCAgtjcShPEjA75b48Z/preview,0,inconnu,officiel
