niveau,serie,matiere,annee,lien_drive,corrige_dispo,source,type_sujet
BAC,D,Physique,2023,https://drive.google.com/file/d/1KkMfmpv9uA3HlkwFJfTX4DAZlpRtk_EQ/preview,0,inconnu,officiel
BAC,D,Physique,2021,https://drive.google.com/file/d/1NzWZrUbjFOOdOAEbcp_wrqU0YrX8gxPj/preview,0,inconnu,officiel
BAC,D,Physique,2017,https://drive.google.com/file/d/1spOZ3_JHYPne-rbIYv28kSXPNw3t9c30/preview,0,inconnu,officiel
BAC,D,Physique,2017,https://drive.google.com/file/d/1JU989BT3Expvbp4SXmeAs1r8kxEy3mDv/preview,0,inconnu,officiel
BAC,D,Physique,2023,https://drive.google.com/file/d/1IXIpGIenaXSBFNcYHuNgqgf_3w1BbKP_/preview,0,inconnu,officiel
BAC,D,Physique,2018,https://drive.google.com/file/d/16I7P8CUyC1F7nyVzeRS_cTFItA2A1oaD/preview,0,inconnu,officiel
BAC,D,Physique,2022,https://drive.google.com/file/d/1iCdmEeRuzyWm_9qRd7PtgQ4qpEYp5Nxb/preview,0,inconnu,officiel
BAC,D,Physique,2022,https://drive.google.com/file/d/1ymYvbXmYFfdN7_eHGxcOZNZppl817d4e/preview,0,inconnu,officiel
BAC,D,Physique,2019,https://drive.google.com/file/d/1RU7ApXF6O6IIuzEtVTQKFSdB-DifJisR/preview,0,inconnu,officiel
BAC,D,Physique,2016,https://drive.google.com/file/d/1xD77OopsV4YpanKaeL0ZUo0JhZh6qelJ/preview,0,inconnu,officiel
BAC,D,Physique,2015,https://drive.google.com/file/d/1eK5bSFxOYWgcKeqHQf8NMs1QYbTZ_Y9b/preview,0,inconnu,officiel
BAC,D,Physique,2025,https://drive.google.com/file/d/1zeVqYeoJow9DrMvjP5lar5BOvOHh4-mn/preview,0,inconnu,officiel
BAC,D,Physique,2020,https://drive.google.com/file/d/1zDOVCp1pIrpBaPLOA089e4dFerggvhlI/preview,0,inconnu,officiel
