niveau,serie,matiere,annee,lien_drive,corrige_dispo,source,type_sujet
BEPC,,PCT,2021,https://drive.google.com/file/d/1jSkVjDMUhb5hqj2Gj1tbxvCTQvnxtvg6/preview,0,inconnu,officiel
BEPC,,PCT,2024,https://drive.google.com/file/d/12apA4S2_xqkfX1LvvhpWBZeqjrTRxN73/preview,0,inconnu,officiel
BEPC,,PCT,2023,https://drive.google.com/file/d/1W290y1XJSEHCm6by9GVJSUVx42dYIC1x/preview,0,inconnu,officiel
BEPC,,PCT,2025,https://drive.google.com/file/d/1Sk2DnJv1gxX0PpHzTA4HTKbplwch3LWk/preview,0,inconnu,officiel
BEPC,,PCT,2022,https://drive.google.com/file/d/1-WSPka4KlXL2SMd_qReA_2EyZN6AhI4H/preview,0,inconnu,officiel
BEPC,,PCT,2022,https://drive.google.com/file/d/1Aays4QgPLn-GVhoek_sZPCqinqb_5Bs2/preview,0,inconnu,officiel
BEPC,,PCT,2018,https://drive.google.com/file/d/1N13vvTYYo_l-zd5ZBsyUa-5sasSGuJQs/preview,0,inconnu,officiel
BEPC,,PCT,2020,https://drive.google.com/file/d/1XuLUhLu4vFkcEYFLEopiIyqyO9b6uxHI/preview,0,inconnu,officiel
BEPC,,PCT,2019,https://drive.google.com/file/d/1aaSl14T_wNl6om5SZPEZxlrQYmcXAHn6/preview,0,inconnu,officiel
BEPC,,PCT,2015,https://drive.google.com/file/d/1ACou0xn9rRzKHnecWDVPvfSYeTpC5Dkb/preview,0,inconnu,officiel
BEPC,,PCT,2015,https://drive.google.com/file/d/1h2aekEZjwinPVp3fUrBSxySWeH5notld/preview,0,inconnu,officiel
BEPC,,PCT,2015,https://drive.google.com/file/d/1C3S7Qy540RWDi-NTM-W5pVn9Udrzvarr/preview,0,inconnu,officiel
