fichier,pdf_path,niveau,serie,annee,matiere,pages,url,slug,filigrane_ajoute,date_traitement,erreur
Probatoire_C_1999.pdf,out/Probatoire_C_1999.pdf,Probatoire C,C,1999,Inconnu,2,https://examenscam.onrender.com/pdfs/Probatoire_C_1999.pdf,probatoire-c-1999-inconnu,Oui,2026-05-17 18:35:54,
Probatoire_C_2000.pdf,out/Probatoire_C_2000.pdf,Probatoire C,C,2000,Inconnu,2,https://examenscam.onrender.com/pdfs/Probatoire_C_2000.pdf,probatoire-c-2000-inconnu,Oui,2026-05-17 18:35:54,
Probatoire_C_2001.pdf,out/Probatoire_C_2001.pdf,Probatoire C,C,2001,Inconnu,3,https://examenscam.onrender.com/pdfs/Probatoire_C_2001.pdf,probatoire-c-2001-inconnu,Oui,2026-05-17 18:35:54,
Probatoire_C_2002.pdf,out/Probatoire_C_2002.pdf,Probatoire C,C,2002,Inconnu,2,https://examenscam.onrender.com/pdfs/Probatoire_C_2002.pdf,probatoire-c-2002-inconnu,Oui,2026-05-17 18:35:54,
Probatoire_C_2003.pdf,out/Probatoire_C_2003.pdf,Probatoire C,C,2003,Inconnu,3,https://examenscam.onrender.com/pdfs/Probatoire_C_2003.pdf,probatoire-c-2003-inconnu,Oui,2026-05-17 18:35:54,
Probatoire_C_2004.pdf,out/Probatoire_C_2004.pdf,Probatoire C,C,2004,Inconnu,3,https://examenscam.onrender.com/pdfs/Probatoire_C_2004.pdf,probatoire-c-2004-inconnu,Oui,2026-05-17 18:35:54,
Probatoire_C_2005.pdf,out/Probatoire_C_2005.pdf,Probatoire C,C,2005,Inconnu,3,https://examenscam.onrender.com/pdfs/Probatoire_C_2005.pdf,probatoire-c-2005-inconnu,Oui,2026-05-17 18:35:54,
Probatoire_C_2006.pdf,out/Probatoire_C_2006.pdf,Probatoire C,C,2006,Inconnu,2,https://examenscam.onrender.com/pdfs/Probatoire_C_2006.pdf,probatoire-c-2006-inconnu,Oui,2026-05-17 18:35:54,
Probatoire_C_2007.pdf,out/Probatoire_C_2007.pdf,Probatoire C,C,2007,Inconnu,2,https://examenscam.onrender.com/pdfs/Probatoire_C_2007.pdf,probatoire-c-2007-inconnu,Oui,2026-05-17 18:35:54,
Probatoire_C_2009.pdf,out/Probatoire_C_2009.pdf,Probatoire C,C,2009,Inconnu,3,https://examenscam.onrender.com/pdfs/Probatoire_C_2009.pdf,probatoire-c-2009-inconnu,Oui,2026-05-17 18:35:54,
